sample	rc	libs
SRR5946942	4988	7422344
SRR5946943	3971	11102502
SRR5946945	3648	8884962
SRR5946944	2790	6461020
SRR5946946	4033	10736948
SRR5946947	2280	7123467
SRR5946948	3658	4664892
SRR5946949	1858	4073352
SRR5946950	3058	4430877
SRR5946951	2850	7895007
SRR5946952	3850	5627196
SRR5946954	2849	7289332
SRR5946958	6747	10686198
SRR5946959	4591	10715691
SRR5946961	8186	12225663
SRR5946965	2780	6184679
SRR5946967	1965	5564371
SRR5946968	5677	6117869
SRR5946970	6477	6890826
SRR5946972	6412	11370182
SRR5946973	7961	5962622
SRR5946974	2473	4838493
SRR5946975	7456	14660852
SRR5946976	6633	11248688
SRR5946978	3778	9602200
SRR5946979	3848	10534760
SRR5946980	4572	10118213
SRR5946981	5970	12310699
SRR5946984	3835	8275712
SRR5946985	7451	17483486
SRR5946986	6451	10809122
SRR5946988	2937	7113333
SRR5946987	6924	7113487
SRR5946989	5457	13795057
SRR5946990	6437	14975623
SRR5946991	1705	6115575
SRR5946992	3327	7335922
SRR5946993	8133	20898330
SRR5946995	5436	10175092
SRR5946999	3186	8683608
SRR5947000	5813	16323151
SRR5947001	2929	8969056
SRR5947002	3499	7763239
SRR5947004	5793	8099614
SRR5947005	3917	8490747
SRR5947006	7959	12061682
SRR5947007	16185	12560275
SRR5947010	4738	12732214
SRR5947011	8248	13460400
SRR5947012	1682	5402977
SRR5947013	4110	8832543
SRR5947015	4022	12838341
SRR5947017	5771	12296193
SRR5947019	4753	10810587
SRR5947020	2664	7257469
SRR5947021	6753	8731141
SRR5947022	4168	7313486
SRR5947023	3421	7380664
SRR5947026	7680	11813856
SRR5947029	3017	10452875
SRR5947030	2929	9614152
SRR5947031	3074	5853964
SRR5947032	3158	6204726
SRR5947033	1816	6649783
SRR5947035	5261	6632482
SRR5947037	2635	7752966
SRR5947036	2463	6461369
SRR5947039	5235	10727758
SRR5947040	5601	3972656
SRR5947041	2709	7427942
SRR5947042	1449	4071759
SRR5947043	2834	8136057
SRR5947044	3398	9619136
SRR5947046	5279	10321651
SRR5947049	1499	5328605
SRR5947050	12030	8075667
SRR5947051	4540	11414615
SRR5947052	4396	7459807
SRR5947053	3090	4860017
SRR5947055	7807	12882919
SRR5947058	3908	9226373
SRR5947059	3077	6087005
SRR5947061	5766	6132909
SRR5947062	4076	8239997
SRR5947063	2338	9413756
SRR5947066	2920	4920871
SRR5947069	2265	4220877
SRR5947070	3523	10664885
SRR5947073	4160	3977888
SRR5947074	2249	8037255
SRR5947077	7646	8283005
SRR5947078	10678	16219914
SRR5947079	4278	8438297
SRR5947085	2771	6807843
SRR5947086	2513	8291257
SRR5947088	1626	7317611
SRR5947089	4701	12051672
SRR5947090	16255	13235843
SRR5947091	4369	13233947
SRR5947092	6811	10393108
SRR5947095	16115	13470168
SRR5947096	3590	10267104
SRR5947097	5092	14067923
SRR5947098	4332	9429561
SRR5947100	5889	11439738
SRR5947101	3368	10011692
SRR5947102	1927	6193967
SRR5947104	3758	8019721
